2020-04-10,10:14:00,Churchgate_Up,90318,1.56,Charni Road,Yes,There is a minor delay in the route. For the delay to be mitigated the train must maintain an average speed of66.3kmph
2020-04-10,10:40:00,Churchgate_Up,90332,0.89,MUMBAI CENTRAL,Yes,There is a minor delay in the route. For the delay to be mitigated the train must maintain an average speed of68.1kmph
